file,has_hidden_void,void_num,center_mass,bounds
5820406_1_2_void.stl,YES,1,"[13.262, 1.208, 16.149]","[[12.455, 1.147, 15.921], [14.068, 1.269, 16.376]]"
5820406_1_2_void.stl,YES,2,"[-20.03, 5.724, 1.419]","[[-20.283, 5.671, 1.156], [-19.777, 5.777, 1.682]]"
5820406_1_3_void.stl,NO,,,
5823799_4_3_void.stl,NO,,,
5823799_4_2_void.stl,NO,,,
5785050_7_4_void.stl,YES,1,"[18.918, 7.892, 10.095]","[[18.905, 7.886, 10.092], [18.931, 7.899, 10.097]]"
5816424_1_1_void.stl,NO,,,
5816424_1_0_void.stl,NO,,,
5783959_1_4_void.stl,YES,1,"[-2.929, 1.679, 11.112]","[[-2.99, 1.614, 10.922], [-2.872, 1.751, 11.245]]"
5783959_1_4_void.stl,YES,2,"[10.031, 1.857, 10.902]","[[9.853, 1.656, 10.214], [10.246, 2.121, 11.298]]"
5783959_1_4_void.stl,YES,3,"[3.629, 0.611, 9.009]","[[3.627, 0.607, 9.006], [3.631, 0.615, 9.011]]"
5783959_1_4_void.stl,YES,4,"[4.346, -2.986, 8.732]","[[4.34, -2.99, 8.73], [4.353, -2.982, 8.734]]"
5783959_1_4_void.stl,YES,5,"[1.319, 2.951, 10.667]","[[1.252, 2.885, 10.608], [1.386, 3.017, 10.726]]"
5805749_1_0_void.stl,YES,1,"[31.94, 24.272, 0.514]","[[31.188, 23.631, 0.451], [32.692, 24.914, 0.577]]"
5805749_1_0_void.stl,YES,2,"[21.286, 5.635, 0.328]","[[21.275, 5.628, 0.327], [21.296, 5.642, 0.329]]"
5805749_1_0_void.stl,YES,3,"[26.297, 21.385, 1.137]","[[26.273, 21.369, 1.134], [26.321, 21.401, 1.141]]"
5805749_1_0_void.stl,YES,4,"[28.519, 23.261, 1.992]","[[27.028, 21.905, 1.51], [30.01, 24.617, 2.473]]"
5803369_7_1_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5803369_7_0_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5805749_1_1_void.stl,YES,1,"[22.673, 3.369, 0.384]","[[22.305, 2.934, 0.323], [23.041, 3.805, 0.445]]"
5805749_1_1_void.stl,YES,2,"[28.442, 12.419, 1.79]","[[27.389, 11.199, 1.598], [29.496, 13.639, 1.982]]"
5805749_1_1_void.stl,YES,3,"[27.506, 14.554, 3.241]","[[27.486, 14.542, 3.238], [27.526, 14.566, 3.245]]"
5853274_1_0_void.stl,YES,1,"[30.116, -33.677, 59.138]","[[30.11, -33.681, 59.135], [30.123, -33.672, 59.14]]"
5853274_1_0_void.stl,YES,2,"[-11.663, -35.041, 12.388]","[[-15.062, -37.725, 8.979], [-8.263, -32.358, 15.797]]"
5853274_1_0_void.stl,YES,3,"[75.68, 28.816, 67.752]","[[75.532, 28.678, 67.66], [75.827, 28.954, 67.843]]"
5853274_1_0_void.stl,YES,4,"[10.761, -34.015, 5.238]","[[7.232, -36.216, 4.326], [14.291, -31.813, 6.15]]"
5853274_1_0_void.stl,YES,5,"[-56.823, -35.587, 13.694]","[[-56.991, -35.718, 13.618], [-56.655, -35.456, 13.77]]"
5819785_1_1_void.stl,NO,,,
5892823_1_0_void.stl,NO,,,
5840852_7_3_void.stl,YES,1,"[-14.897, -10.748, 15.103]","[[-20.367, -13.491, 12.996], [-9.426, -8.005, 17.21]]"
5840852_7_3_void.stl,YES,2,"[-9.627, 4.225, 27.727]","[[-10.349, 3.586, 27.072], [-8.904, 4.864, 28.383]]"
5840852_7_3_void.stl,YES,3,"[19.171, -10.618, 21.694]","[[18.983, -10.798, 21.535], [19.359, -10.439, 21.852]]"
5892823_1_1_void.stl,YES,1,"[-2.371, -14.647, 10.789]","[[-2.377, -14.732, 10.784], [-2.365, -14.563, 10.794]]"
5840852_7_2_void.stl,YES,1,"[16.048, -22.259, 23.575]","[[12.525, -24.446, 21.038], [19.57, -20.072, 26.113]]"
5840852_7_2_void.stl,YES,2,"[-14.32, 8.858, 7.945]","[[-14.696, 8.2, 7.51], [-13.944, 9.517, 8.38]]"
5819785_1_0_void.stl,NO,,,
5826735_2_3_void.stl,YES,1,"[31.731, -10.857, 4.053]","[[31.712, -10.888, 4.043], [31.75, -10.826, 4.064]]"
5826735_2_3_void.stl,YES,2,"[-20.113, 41.671, 9.984]","[[-20.785, 40.586, 9.816], [-19.441, 42.757, 10.153]]"
5826735_2_3_void.stl,YES,3,"[15.024, -32.739, 6.196]","[[13.276, -34.347, 5.411], [16.772, -31.13, 6.982]]"
5826735_2_3_void.stl,YES,4,"[34.736, -15.936, 5.256]","[[34.721, -15.954, 5.249], [34.752, -15.919, 5.264]]"
5826735_2_3_void.stl,YES,5,"[-1.926, 32.683, 16.697]","[[-2.093, 32.471, 16.644], [-1.759, 32.896, 16.75]]"
5864029_1_1_void.stl,NO,,,
5826735_2_2_void.stl,YES,1,"[26.604, 31.542, 3.791]","[[26.596, 31.531, 3.788], [26.612, 31.553, 3.794]]"
5826735_2_2_void.stl,YES,2,"[30.59, 11.6, 3.096]","[[30.52, 11.548, 3.052], [30.66, 11.652, 3.14]]"
5826735_2_2_void.stl,YES,3,"[-12.355, 23.684, 17.488]","[[-12.678, 23.119, 17.319], [-12.032, 24.25, 17.656]]"
5826735_2_2_void.stl,YES,4,"[1.177, -34.962, 18.537]","[[1.166, -34.976, 18.534], [1.188, -34.948, 18.54]]"
5864029_1_0_void.stl,NO,,,
5779197_1_0_void.stl,NO,,,
5771614_2_2_void.stl,YES,1,"[14.265, -2.584, 1.693]","[[14.119, -2.624, 1.634], [14.411, -2.544, 1.751]]"
5884572_1_2_void.stl,YES,1,"[-39.055, -1.21, 4.01]","[[-39.369, -1.724, 3.541], [-38.74, -0.696, 4.479]]"
5884572_1_2_void.stl,YES,2,"[-5.189, 51.49, 25.434]","[[-5.331, 51.335, 25.33], [-5.048, 51.646, 25.537]]"
5884572_1_2_void.stl,YES,3,"[39.102, -17.862, 31.253]","[[39.094, -17.87, 31.245], [39.109, -17.854, 31.26]]"
5779197_1_1_void.stl,NO,,,
5731853_3_0_void.stl,YES,1,"[-12.806, 8.304, 18.086]","[[-12.846, 8.288, 18.059], [-12.766, 8.321, 18.113]]"
5731853_3_0_void.stl,YES,2,"[-16.561, 5.749, 93.649]","[[-16.591, 5.743, 93.626], [-16.532, 5.755, 93.672]]"
5771614_2_3_void.stl,YES,1,"[16.657, 3.976, 6.107]","[[16.559, 3.964, 6.086], [16.755, 3.988, 6.127]]"
5771614_2_3_void.stl,YES,2,"[10.007, 2.761, 3.244]","[[9.995, 2.758, 3.241], [10.02, 2.765, 3.247]]"
5771614_2_3_void.stl,YES,3,"[7.249, 3.425, 3.804]","[[7.249, 3.425, 3.804], [7.249, 3.425, 3.804]]"
5884572_1_3_void.stl,NO,,,
5876560_2_3_void.stl,NO,,,
5782067_1_0_void.stl,YES,1,"[9.693, -1.654, 10.404]","[[9.691, -1.655, 10.402], [9.695, -1.653, 10.406]]"
5782067_1_0_void.stl,YES,2,"[6.152, -1.578, 7.145]","[[6.096, -1.636, 7.107], [6.209, -1.519, 7.184]]"
5782067_1_0_void.stl,YES,3,"[0.718, 1.793, 2.291]","[[0.716, 1.791, 2.289], [0.721, 1.795, 2.293]]"
5876560_2_2_void.stl,NO,,,
5782067_1_1_void.stl,YES,1,"[0.496, 0.524, 3.115]","[[0.477, 0.505, 3.097], [0.516, 0.542, 3.132]]"
5815969_1_3_void.stl,NO,,,
5852998_1_1_void.stl,NO,,,
