file,has_hidden_void,void_num,center_mass,bounds
5820406_1_2_void.stl,YES,1,"[-18.732, 0.083, 13.689]","[[-18.781, 0.075, 13.613], [-18.684, 0.092, 13.765]]"
5903545_2_2_void.stl,YES,1,"[16.306, 60.567, 8.041]","[[16.261, 60.546, 8.037], [16.35, 60.589, 8.046]]"
5903545_2_2_void.stl,YES,2,"[46.259, 14.211, 0.434]","[[45.548, 13.265, 0.292], [46.97, 15.157, 0.575]]"
5820406_1_3_void.stl,YES,1,"[-13.929, 5.332, 5.451]","[[-14.746, 5.166, 4.356], [-13.111, 5.499, 6.546]]"
5820406_1_3_void.stl,YES,2,"[4.171, 2.48, 20.555]","[[3.02, 2.24, 19.634], [5.322, 2.721, 21.476]]"
5885189_9_7_void.stl,YES,1,"[0.601, -3.593, 0.228]","[[0.599, -3.602, 0.226], [0.603, -3.584, 0.231]]"
5885189_9_6_void.stl,YES,1,"[1.641, -11.925, 7.193]","[[1.639, -11.929, 7.192], [1.642, -11.922, 7.194]]"
5885189_9_6_void.stl,YES,2,"[2.854, 4.436, 6.994]","[[2.831, 4.325, 6.97], [2.876, 4.548, 7.018]]"
5885189_9_6_void.stl,YES,3,"[0.484, 7.683, 0.373]","[[0.457, 7.482, 0.345], [0.512, 7.884, 0.402]]"
5903116_3_6_void.stl,NO,,,
5903116_3_7_void.stl,NO,,,
5821964_2_6_void.stl,YES,1,"[0.301, 5.843, 1.953]","[[0.282, 5.828, 1.947], [0.32, 5.858, 1.959]]"
5821964_2_6_void.stl,YES,2,"[2.466, 5.926, 1.97]","[[2.466, 5.926, 1.97], [2.466, 5.926, 1.971]]"
5821964_2_6_void.stl,YES,3,"[1.792, 5.154, 1.777]","[[1.564, 4.984, 1.626], [2.019, 5.323, 1.928]]"
5821964_2_6_void.stl,YES,4,"[4.305, 3.786, 3.331]","[[4.095, 3.475, 3.193], [4.515, 4.098, 3.47]]"
5821964_2_7_void.stl,YES,1,"[-3.301, -2.567, 3.62]","[[-3.626, -2.99, 3.388], [-2.976, -2.144, 3.852]]"
5821964_2_7_void.stl,YES,2,"[-4.601, 3.568, 0.828]","[[-4.991, 3.09, 0.628], [-4.21, 4.047, 1.028]]"
5785050_7_5_void.stl,YES,1,"[30.124, 3.961, 4.838]","[[28.725, 3.341, 4.64], [31.524, 4.581, 5.036]]"
